product_id,category,model,color,price,stock,image_url
292.561.99,Beds,HEMNES,Medium Brown,$249.00 ,10,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-brown__0561925_PE663179_S4.JPG
290.078.50,Beds,HEMNES,Black-brown,$249.00 ,10,https://www.ikea.com/us/en/images/products/hemnes-bed-frame__0555085_PE660122_S4.JPG
990.078.56,Beds,HEMNES,White Stain,$249.00 ,10,https://www.ikea.com/us/en/images/products/hemnes-bed-frame__0252128_PE390850_S4.JPG
691.312.73,Beds,MALM,Brown Ash,$179.00 ,10,https://www.ikea.com/us/en/images/products/malm-bed-frame-high__0415607_PE578085_S4.JPG
690.099.51,Beds,MALM,Black-brown,$179.00 ,10,https://www.ikea.com/us/en/images/products/malm-bed-frame-high__0241869_PE381590_S4.JPG
490.099.52,Beds,MALM,White,$179.00 ,10,https://www.ikea.com/us/en/images/products/malm-bed-frame-high-white__0241871_PE381592_S4.JPG
303.408.09,Tables,EKEDALEN,Brown,$229.00 ,10,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-brown__0516710_PE640507_S4.JPG
203.408.24,Tables,EKEDALEN,Dark Brown,$229.00 ,10,https://www.ikea.com/us/en/images/products/ekedalen-extendable-table-brown__0517385_PE640660_S4.JPG
802.642.71,Tables,LERHAMN,White Stain,$69.00 ,10,https://www.ikea.com/us/en/images/products/lerhamn-table__0238243_PE377691_S4.JPG
402.642.73,Tables,LERHAMN,Black-brown,$69.00 ,10,https://www.ikea.com/us/en/images/products/lerhamn-table-brown__0238241_PE377689_S4.JPG
403.936.18,Lighting,HEKTAR,Dark Grey,$49.99 ,10,https://www.ikea.com/us/en/images/products/hektar-floor-lamp-with-spotlights-gray__0606224_PE682139_S4.JPG
103.941.29,Lighting,HOLMO,White,$12.99 ,10,https://www.ikea.com/us/en/images/products/holmo-floor-lamp__0529949_PE646443_S4.JPG
